ISBN,TITLE,AUTHORS,YEAR,PUBLISHER,GENRE,DESCRIPTION,PAGE_COUNT,LANGUAGE,AVG_RATING,RATINGS_COUNT
9780709164647,Condominium,John Dann MacDonald,1977,Robert Hale,Fiction,"A first-rate entertainment (New York Daily News), Condominium is a panoramic novel from a master of suspense that follows the disappearance of an American paradise, the corrupt souls willing to sell out to make a buck, the innocent masses caught in their wake--and the perfect storm that washes everything away. Introduction by Dean Koontz Welcome to Florida's Golden Sands, the dream condominium complex built on a weak foundation and a thousand dirty secrets. The real estate was a steal--literally. The maintenance charges run high as the locals are run out. It's the home of shortcuts, crackdowns, breakups, oversights, and payoffs. Add it all up, and the new coastline community doesn't stand a chance against the ever-present specter of disaster: the dreaded hurricane. The big one is coming. Golden Sands is right in its path. And only a few brave souls have the power to stop this towering eyesore from going underwater for good. Praise for John D. MacDonald and Condominium Most readers loved John D. MacDonald's work because he told a rip-roaring yarn. I loved it because he was the first modern writer to nail Florida dead-center, to capture all its languid sleaze, racy sense of promise, and breath-grabbing beauty.--Carl Hiaasen A narrative of wracking suspense that mounts to a devastating climax.--Cosmopolitan John D. MacDonald created a staggering quantity of wonderful books, each rich with characterization, suspense, and an almost intoxicating sense of place.--Jonathan Kellerman",458,en,,
9780374189891,A Live Coal in the Sea,Madeleine L'Engle,1996,Farrar Straus & Giroux,Fiction,"Three generations of a family struggle with loyalty, commitment, and identity when Camilla Dickinson is confronted by her granddaughter, Raffi, with the news that her father has hinted that Camilla is not really her grandmother",323,en,,
9780373613748,The Billionaire Drifter,Beverly Bird,2003,Silhouette,Adoptees,"Billionaire Max Strong enjoys living far away from the glamour scene. But strange things begin to happen at his haven, including an unexpected run-in with beautiful stranger Honey Evans. Original.",0,en,,
9782277301004,Deux petites filles mortes,Stephen King,1996,J'ai Lu,,"Octobre 1932. Pénitencier d'Etat, Cold Mountain, Louisiane. A l'écart des autres, le bloc E. Celui des condamnés à mort. L'antichambre de l'enfer. Au bout du long corridor vert, la chaise électrique, Miss Cent Mille volts au répugnant baiser... Sa prochaine victime, John Caffey. Un géant. Le meurtrier des petites jumelles Detterick. Surpris devant leurs cadavres ensanglantés. Etrangement absent. Si calme... Paul, le gardien-chef, l'accueille comme les autres, sans états d'âme... Et pourtant... L'air est étouffant... Quelque chose se trame... Le regard troublant du condamné, les provocations sadiques de Percy Wetmore, une exécution de trop... ? Un rouage va lâcher. Mais lequel ? Pourquoi ? Et qui manipule Mister Jingles, cette étrange souris trop curieuse et trop savante ? Le suspense ne fait que commencer...",88,fr,,
9780515122770,Slocum and the Comely Corpse,Jake Logan,1998,Jove,Fiction,More information to be announced soon on this forthcoming title from Penguin USA,183,en,,
9780156010757,The Feeling of what Happens,Antonio R. Damasio,1999,Houghton Mifflin Harcourt,Medical,"A new theory of consciousness and the construction of identity focuses on the body's reaction to its world, postulating that a complex relationship between body, emotion, and mind is required to configure the self.",404,en,,
9780061001420,Almonds and Raisins,Maisie Mosco,1991,HarperPrism,Fiction,"The families are as different as night and day. The outgoing Sandbergs are from Russia, while the bookish Moritzes are from Austria. They meet in England before the First World War and form a strong, fiery friendship that would shape the destinies of three generations.",484,en,,
9780029037614,The Tempting of America,Robert H. Bork,1990,,Law,Judge Bork offers a statement of his social and legal philosophy.,458,en,,
9780306804465,Piece of My Heart,David Dalton,1991,Da Capo,Biography & Autobiography,"In 1972, Stonehill Books published David Dalton's Janis, a multimedia extravaganza that incorporated interviews, quotes, photographs, lyrics, Rolling Stone Clippings, sheet music, a record of rapping and singing, and prose as wild and moving as Janis's performances. Piece of My Heart is a reconstruction and revision of that early work - one of the first ""rock 'n' roll"" books—leaving the prose and interviews intact, adding dozens of new photos, and incorporating a wealth of new material. Here is the best possible portrait of the lonely teenager from Port Arthur, Texas, who took the blues farther than anyone before or since, offering revealing glimpses of her on the road—backstage with Jerry Lee Lewis, kidnapped in Kansas, partying with the Grateful Dead, the Band, Bonnie and Delaney, and with her own band, Big Brother and the Holding Company. But Piece of My Heart goes beyond Janis's own story to provide us with a portrait of the Kosmic Blues themselves—the self destruction that lies at the heart of the rock' n' roll myth.",284,en,,
9780140322576,The Double Life of Pocahontas,Jean Fritz,1983,Puffin Books,Juvenile Nonfiction,"A biography of the famous American Indian princess, emphasizing her life-long adulation of John Smith and the roles she played in two very different cultures.",100,en,4,1
